ID;nombre;MCOD
U1011;Azurduy;U101101
U1011;Rodeo Grande;U101102
U1012;Abra Ckasa;U101201
U1012;Capactala;U101202
U1012;El Salto;U101203
U1012;Inca Pampa;U101204
U1012;Molleni;U101205
U1012;Mosoj Llajta;U101206
U1012;Pampa Huasi;U101207
U1012;San Miguel de Marcavi;U101208
U1012;San Pedro;U101209
U1012;Tarvita;U101210
U1012;Visanche;U101211
U1021;Jahue;U102101
U1021;Lampasillos;U102102
U1021;Lampazos;U102103
U1021;Mendoza;U102104
U1021;Nuevo Mundo;U102105
U1021;Pampas del Tigre;U102106
U1021;Peña Blanca;U102107
U1021;Trampa Mayu;U102108
U1021;Urriolagoitia;U102109
U1021;Villa Serrano;U102110
U1021;Yunguillas;U102111
U1021;Zamora;U102112
U1031;Añimbo;U103101
U1031;Huacareta;U103102
U1031;Piraycito;U103103
U1031;Rosario del Ingre;U103104
U1031;Uruguay;U103105
U1032;Candua;U103201
U1032;Chapi Mayu;U103202
U1032;Comunidad 16 de Febrero;U103203
U1032;Cruce Piraymiri;U103204
U1032;El Rodeo;U103205
U1032;Ingavi;U103206
U1032;Monteagudo;U103207
U1032;Roldana;U103208
U1032;San Juan del Pirai;U103209
U1032;San Miguel del Bañado;U103210
U1032;San Pedro del Zapallar;U103211
U1032;Villa Fernandez;U103212
U1041;Huacaya;U104101
U1041;Santa Rosa;U104102
U1042;Camatindi;U104201
U1042;Carandayti;U104202
U1042;Ivo;U104203
U1042;Machareti;U104204
U1042;Machareti Estacion;U104205
U1042;Ñancorainza;U104206
U1042;Tiguipa Estacion;U104207
U1042;Tiguipa Pueblo;U104208
U1043;Cerrillos;U104301
U1043;Cumandayti;U104302
U1043;Iguembe;U104303
U1043;La Tapera;U104304
U1043;Monte Grande;U104305
U1043;Muyupampa;U104306
U1043;Ticucha;U104307
U1051;Cachuyo;U105101
U1051;Camargo;U105102
U1051;Carusla;U105103
U1051;Cueva Pampa;U105104
U1051;Huaca Cancha;U105105
U1051;La Plateada;U105106
U1051;Muyuquiri;U105107
U1051;Patapampa;U105108
U1051;Quitucancha Condoriri;U105109
U1051;Saca Pampa;U105110
U1051;Suquistaca;U105111
U1051;Tacomayo;U105112
U1052;Chillajara;U105201
U1052;Entre Rios;U105202
U1052;Huajlaya;U105203
U1052;Incahuasi;U105204
U1052;Jolencia;U105205
U1052;Portillo;U105206
U1053;Andamarca;U105301
U1053;Chiñimayu;U105302
U1053;Cinteño Tambo;U105303
U1053;Corma;U105304
U1053;Huayllani Chico;U105305
U1053;Malliri;U105306
U1053;Ocuri;U105307
U1053;Padcoyo;U105308
U1053;Palacio Tambo;U105309
U1053;Payacota del Carmen;U105310
U1053;San Lucas;U105311
U1053;Sivinga Mayu;U105312
U1054;Centro Villa Charcas;U105401
U1054;Palcapata;U105402
U1054;Pucara;U105403
U1054;San Antonio;U105404
U1054;Santa Elena;U105405
U1054;Villa Charcas;U105406
U1061;Piocera;U106101
U1061;Pojpo;U106102
U1061;Poroma;U106103
U1061;San Juan de Orcas;U106104
U1061;Sapse;U106105
U1062;Azari Baja;U106201
U1062;Bella Vista;U106202
U1062;Chacarilla Mosojllajta;U106203
U1062;Chullpas;U106204
U1062;Chuqui Chuqui;U106205
U1062;Compuerta;U106206
U1062;El Chaco;U106207
U1062;Guerra Loma;U106208
U1062;Kacha Kacha;U106209
U1062;Khochis;U106210
U1062;Kuchu Tambo;U106211
U1062;La Barranca;U106212
U1062;La Palma;U106213
U1062;Mojotoro;U106214
U1062;Mojtulo;U106215
U1062;Ovejerias;U106216
U1062;Paredon;U106217
U1062;Porongo;U106218
U1062;Potolo;U106219
U1062;Sacopaya;U106220
U1062;Sotani;U106221
U1062;Sucre;U106222
U1062;Surima;U106223
U1062;Tajchi;U106224
U1062;Tambo Kasa;U106225
U1062;Tapial;U106226
U1062;Teja Huasi;U106227
U1062;Tokio;U106228
U1063;Bajo Campanario;U106301
U1063;Cachimayu;U106302
U1063;Cantu Ñucchu;U106303
U1063;Carvajal;U106304
U1063;Cortijo;U106305
U1063;Huayllas;U106306
U1063;La Calera;U106307
U1063;Molle Molle;U106308
U1063;Mosoj Llacta;U106309
U1063;Palamana;U106310
U1063;Pitantorilla;U106311
U1063;Salancachi;U106312
U1063;San Isidro de Anfaya;U106313
U1063;Santa Rosalia;U106314
U1063;Tambo Aqhachilla;U106315
U1063;Tasapampa;U106316
U1063;Tipaka;U106317
U1063;Uñala;U106318
U1063;Villa el Carmen;U106319
