D;DEPARTAMENTO;P;PROVINCIA;M;MUNICIPIO;COD
1;Chuquisaca;1;Azurduy;1;Azurduy;U1011
1;Chuquisaca;1;Azurduy;2;Tarvita;U1012
1;Chuquisaca;2;Belisario Boeto;1;Villa Serrano;U1021
1;Chuquisaca;3;Hernando Siles;1;Huacareta;U1031
1;Chuquisaca;3;Hernando Siles;2;Monteagudo;U1032
1;Chuquisaca;4;Luis Calvo;1;Huacaya (Autonomía Guaraní Chaqueño De Huacaya);U1041
1;Chuquisaca;4;Luis Calvo;2;Macharetí;U1042
1;Chuquisaca;4;Luis Calvo;3;Villa Vaca Guzmán;U1043
1;Chuquisaca;5;Nor Cinti;1;Camargo;U1051
1;Chuquisaca;5;Nor Cinti;2;Incahuasi;U1052
1;Chuquisaca;5;Nor Cinti;3;San Lucas;U1053
1;Chuquisaca;5;Nor Cinti;4;Villa Charcas;U1054
1;Chuquisaca;6;Oropeza;1;Poroma;U1061
1;Chuquisaca;6;Oropeza;2;Sucre;U1062
1;Chuquisaca;6;Oropeza;3;Yotala;U1063
1;Chuquisaca;7;Sur Cinti;1;Culpina;U1071
1;Chuquisaca;7;Sur Cinti;2;Las Carreras;U1072
1;Chuquisaca;7;Sur Cinti;3;Villa Abecia;U1073
1;Chuquisaca;8;Tomina;1;Alcalá;U1081
1;Chuquisaca;8;Tomina;2;El Villar;U1082
1;Chuquisaca;8;Tomina;3;Padilla;U1083
1;Chuquisaca;8;Tomina;4;Sopachuy;U1084
1;Chuquisaca;8;Tomina;5;Tomina;U1085
1;Chuquisaca;9;Yamparáez;1;Tarabuco;U1091
1;Chuquisaca;9;Yamparáez;2;Yamparáez;U1092
1;Chuquisaca;10;Zudáñez;1;Icla;U1101
1;Chuquisaca;10;Zudáñez;2;Mojocoya;U1102
1;Chuquisaca;10;Zudáñez;3;Presto;U1103
1;Chuquisaca;10;Zudáñez;4;Zudáñez;U1104
2;La Paz;1;Abel Iturralde;1;Ixiamas;U2011
2;La Paz;1;Abel Iturralde;2;San Buenaventura;U2012
2;La Paz;2;Aroma;1;Ayo Ayo;U2021
2;La Paz;2;Aroma;2;Calamarca;U2022
2;La Paz;2;Aroma;3;Collana;U2023
2;La Paz;2;Aroma;4;Colquencha;U2024
2;La Paz;2;Aroma;5;Patacamaya;U2025
2;La Paz;2;Aroma;6;Sicasica;U2026
2;La Paz;2;Aroma;7;Umala;U2027
2;La Paz;3;Bautista Saavedra;1;Charazani;U2031
2;La Paz;3;Bautista Saavedra;2;Curva;U2032
2;La Paz;4;Camacho;1;Escoma;U2041
2;La Paz;4;Camacho;2;Humanata;U2042
2;La Paz;4;Camacho;3;Mocomoco;U2043
2;La Paz;4;Camacho;4;Puerto Acosta;U2044
2;La Paz;4;Camacho;5;Puerto Mayor De Carabuco;U2045
2;La Paz;5;Caranavi;1;Alto Beni;U2051
2;La Paz;5;Caranavi;2;Caranavi;U2052
2;La Paz;6;Franz Tamayo;1;Apolo;U2061
2;La Paz;6;Franz Tamayo;2;Pelechuco;U2062
2;La Paz;7;General José Manuel Pando;1;Catacora;U2071
2;La Paz;7;General José Manuel Pando;2;Santiago De Machaca;U2072
2;La Paz;8;Gualberto Villarroel;1;Chacarilla;U2081
2;La Paz;8;Gualberto Villarroel;2;Papel Pampa;U2082
2;La Paz;8;Gualberto Villarroel;3;San Pedro De Curahuara;U2083
2;La Paz;9;Ingavi;1;Desaguadero;U2091
2;La Paz;9;Ingavi;2;Jesús De Machaka;U2092
2;La Paz;9;Ingavi;3;La (Marka) San Andrés De Machaca;U2093
2;La Paz;9;Ingavi;4;Puerto Mayor De Guaqui;U2094
2;La Paz;9;Ingavi;5;Taraco;U2095
2;La Paz;9;Ingavi;6;Tiahuanacu;U2096
2;La Paz;9;Ingavi;7;Viacha;U2097
2;La Paz;10;Inquisivi;1;Cajuata;U2101
2;La Paz;10;Inquisivi;2;Colquiri;U2102
2;La Paz;10;Inquisivi;3;Ichoca;U2103
2;La Paz;10;Inquisivi;4;Inquisivi;U2104
2;La Paz;10;Inquisivi;5;Quime;U2105
2;La Paz;10;Inquisivi;6;Villa Libertad Licoma;U2106
2;La Paz;11;Larecaja;1;Combaya;U2111
2;La Paz;11;Larecaja;2;Guanay;U2112
2;La Paz;11;Larecaja;3;Mapiri;U2113
2;La Paz;11;Larecaja;4;Quiabaya;U2114
2;La Paz;11;Larecaja;5;Sorata;U2115
2;La Paz;11;Larecaja;6;Tacacoma;U2116
2;La Paz;11;Larecaja;7;Teoponte;U2117
2;La Paz;11;Larecaja;8;Tipuani;U2118
2;La Paz;12;Loayza;1;Cairoma;U2121
2;La Paz;12;Loayza;2;Luribay;U2122
2;La Paz;12;Loayza;3;Malla;U2123
2;La Paz;12;Loayza;4;Sapahaqui;U2124
2;La Paz;12;Loayza;5;Yaco;U2125
2;La Paz;13;Los Andes;1;Batallas;U2131
2;La Paz;13;Los Andes;2;Laja;U2132
2;La Paz;13;Los Andes;3;Pucarani;U2133
2;La Paz;13;Los Andes;4;Puerto Pérez;U2134
2;La Paz;14;Manco Kapac;1;Copacabana;U2141
2;La Paz;14;Manco Kapac;2;San Pedro De Tiquina;U2142
2;La Paz;14;Manco Kapac;3;Tito Yupanqui;U2143
2;La Paz;15;Muñecas;1;Aucapata;U2151
2;La Paz;15;Muñecas;2;Ayata;U2152
2;La Paz;15;Muñecas;3;Chuma;U2153
2;La Paz;16;Murillo;1;Achocalla;U2161
2;La Paz;16;Murillo;2;El Alto;U2162
2;La Paz;16;Murillo;3;Mecapaca;U2163
2;La Paz;16;Murillo;4;Nuestra Señora De La Paz;U2164
2;La Paz;16;Murillo;5;Palca;U2165
2;La Paz;17;Nor Yungas;1;Coripata;U2171
2;La Paz;17;Nor Yungas;2;Coroico;U2172
2;La Paz;18;Omasuyos;1;Achacachi;U2181
2;La Paz;18;Omasuyos;2;Chua Cocani;U2182
2;La Paz;18;Omasuyos;3;Huarina;U2183
2;La Paz;18;Omasuyos;4;Huatajata;U2184
2;La Paz;18;Omasuyos;5;Santiago De Huata;U2185
2;La Paz;18;Omasuyos;6;Villa Ancoraimes;U2186
2;La Paz;19;Pacajes;1;Calacoto;U2191
2;La Paz;19;Pacajes;2;Caquiaviri;U2192
2;La Paz;19;Pacajes;3;Charaña;U2193
2;La Paz;19;Pacajes;4;Comanche;U2194
2;La Paz;19;Pacajes;5;Corocoro;U2195
2;La Paz;19;Pacajes;6;Nazacara De Pacajes;U2196
2;La Paz;19;Pacajes;7;Santiago De Callapa;U2197
2;La Paz;19;Pacajes;8;Waldo Ballivián;U2198
2;La Paz;20;Sud Yungas;1;Chulumani;U2201
2;La Paz;20;Sud Yungas;2;Irupana;U2202
2;La Paz;20;Sud Yungas;3;La Asunta;U2203
2;La Paz;20;Sud Yungas;4;Palos Blancos;U2204
2;La Paz;20;Sud Yungas;5;Yanacachi;U2205
3;Cochabamba;1;Arani;1;Arani;U3011
3;Cochabamba;1;Arani;2;Vacas;U3012
3;Cochabamba;2;Arque;1;Arque;U3021
3;Cochabamba;2;Arque;2;Tacopaya;U3022
3;Cochabamba;3;Ayopaya;1;Ayopaya;U3031
3;Cochabamba;3;Ayopaya;2;Cocapata;U3032
3;Cochabamba;3;Ayopaya;3;Morochata;U3033
3;Cochabamba;4;Bolívar;1;Bolívar;U3041
3;Cochabamba;5;Campero;1;Aiquile;U3051
3;Cochabamba;5;Campero;2;Omereque;U3052
3;Cochabamba;5;Campero;3;Pasorapa;U3053
3;Cochabamba;6;Capinota;1;Capinota;U3061
3;Cochabamba;6;Capinota;2;Santiváñez;U3062
3;Cochabamba;6;Capinota;3;Sicaya;U3063
3;Cochabamba;7;Carrasco;1;Chimoré;U3071
3;Cochabamba;7;Carrasco;2;Entre Ríos;U3072
3;Cochabamba;7;Carrasco;3;Pocona;U3073
3;Cochabamba;7;Carrasco;4;Pojo;U3074
3;Cochabamba;7;Carrasco;5;Puerto Villarroel;U3075
